               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.060346,            0.023453,                   0,           0.0074459,                 0.5,           0.0065449,           0.0019635,            0.059497,            0.021914,                   0,          0.00030223,          0.00030223,            0.096602
                  38,            0.093807,            0.026811,                   0,           0.0042793,                 0.5,           0.0048718,          0.00077473,            0.060842,            0.021591,                   0,          0.00030852,          0.00030852,            0.096509
                  39,            0.060448,            0.027737,                   0,           0.0061189,                   1,           0.0071071,          0.00071071,            0.057515,             0.02173,                   0,          0.00031471,          0.00031471,            0.096415
                  40,            0.086687,            0.031661,                   0,            0.011536,                 0.5,           0.0088233,           0.0015004,            0.054141,            0.021719,                   0,           0.0003208,           0.0003208,            0.096321
                  41,            0.060984,            0.022216,                   0,            0.011549,                 0.5,           0.0073968,           0.0014794,            0.054314,            0.021434,                   0,          0.00032679,          0.00032679,            0.096227
                  42,            0.076407,            0.028988,                   0,           0.0098699,                 0.5,           0.0093314,          0.00093314,            0.058165,            0.020278,                   0,          0.00033268,          0.00033268,            0.096133
                  43,            0.058037,            0.025086,                   0,            0.011039,                   1,            0.011916,           0.0015305,            0.058204,            0.020002,                   0,          0.00033847,          0.00033847,            0.096038
                  44,            0.081406,            0.025699,                   0,           0.0094156,                   1,            0.010585,            0.001431,            0.057842,            0.019881,                   0,          0.00034417,          0.00034417,            0.095944
                  45,            0.056155,            0.022361,                   0,            0.010075,             0.93664,            0.010699,           0.0023044,            0.055433,            0.020201,                   0,          0.00034976,          0.00034976,             0.09585
                  46,            0.054308,            0.026701,                   0,            0.010664,                   1,             0.01157,           0.0024781,             0.05448,            0.020168,                   0,          0.00035526,          0.00035526,            0.095755
                  47,            0.077104,            0.029994,                   0,            0.011914,                   1,            0.012134,           0.0025907,            0.054297,            0.019966,                   0,          0.00036065,          0.00036065,            0.095661
                  48,            0.072401,            0.028458,                   0,           0.0098044,                   1,            0.011117,           0.0039733,            0.055807,            0.019587,                   0,          0.00036595,          0.00036595,            0.095566
                  49,            0.091268,            0.025368,                   0,             0.01031,                   1,            0.012438,           0.0028394,            0.055581,            0.019327,                   0,          0.00037115,          0.00037115,            0.095471
                  50,            0.082235,             0.02836,                   0,            0.012586,                   1,            0.013356,           0.0028344,            0.054656,             0.01922,                   0,          0.00037625,          0.00037625,            0.095376
                  51,            0.078342,            0.024316,                   0,            0.013525,                   1,            0.013874,           0.0029044,            0.051759,            0.019236,                   0,          0.00038125,          0.00038125,            0.095281
                  52,            0.066915,            0.030131,                   0,            0.013345,                   1,            0.014014,            0.003585,             0.05245,            0.018984,                   0,          0.00038615,          0.00038615,            0.095186
                  53,            0.079706,            0.029281,                   0,            0.013692,                   1,            0.014851,            0.005279,            0.051247,            0.019139,                   0,          0.00039095,          0.00039095,            0.095091
                  54,             0.04935,            0.025115,                   0,             0.01418,                   1,            0.014915,           0.0037906,            0.048525,            0.019207,                   0,          0.00039566,          0.00039566,            0.094996
                  55,             0.06966,            0.032015,                   0,            0.014143,                 0.5,             0.01214,           0.0032275,            0.049118,            0.019055,                   0,          0.00040026,          0.00040026,              0.0949
                  56,            0.072639,            0.023713,                   0,            0.029079,                 0.5,            0.019146,           0.0029929,            0.051829,            0.018796,                   0,          0.00040477,          0.00040477,            0.094805
                  57,            0.053805,            0.026807,                   0,            0.031876,                 0.5,            0.021308,           0.0035332,            0.048457,            0.019188,                   0,          0.00040917,          0.00040917,            0.094709
                  58,            0.071731,            0.034006,                   0,            0.039162,                 0.5,             0.02615,           0.0038789,            0.046694,            0.019415,                   0,          0.00041348,          0.00041348,            0.094613
                  59,            0.067028,            0.029423,                   0,            0.045366,                 0.5,            0.027876,           0.0043308,            0.045728,            0.019349,                   0,          0.00041769,          0.00041769,            0.094518
                  60,            0.049909,             0.02683,                   0,            0.025478,                 0.5,            0.017055,           0.0047579,            0.043769,             0.01921,                   0,           0.0004218,           0.0004218,            0.094422
                  61,            0.074732,            0.029858,                   0,            0.026112,                 0.5,            0.017676,           0.0048398,            0.043704,            0.018965,                   0,          0.00042581,          0.00042581,            0.094326
                  62,            0.059044,            0.028186,                   0,            0.021536,                 0.5,            0.014867,           0.0042251,            0.041073,            0.018978,                   0,          0.00042972,          0.00042972,             0.09423
                  63,            0.081213,            0.024193,                   0,            0.021184,                 0.5,             0.01629,            0.003258,            0.039413,            0.019026,                   0,          0.00043353,          0.00043353,            0.094134
                  64,            0.066029,            0.028717,                   0,            0.024805,                 0.5,            0.021899,           0.0021899,            0.037348,            0.019074,                   0,          0.00043725,          0.00043725,            0.094037
                  65,            0.066101,             0.02384,                   0,            0.016276,                 0.5,            0.017929,           0.0017929,            0.038646,            0.019063,                   0,          0.00044086,          0.00044086,            0.093941
                  66,            0.074562,             0.02687,                   0,            0.019699,                 0.5,            0.018909,           0.0018909,             0.03632,            0.019146,                   0,          0.00044438,          0.00044438,            0.093844
                  67,            0.044651,            0.024119,                   0,            0.019125,                 0.5,             0.02107,            0.002107,            0.035077,            0.019158,                   0,          0.00044779,          0.00044779,            0.093748
                  68,            0.042809,            0.026517,                   0,             0.03545,                 0.5,            0.026808,           0.0053616,            0.030709,            0.019677,                   0,          0.00045111,          0.00045111,            0.093651
